abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_other,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,total_grants_use,grants_income_prop,grants_use_prop,imbalanced_grants
11004285956,Australian Nurses Memorial Centre,VIC,Medium,TRUE,Higher education,TRUE,0,1,0,NA,0,193924,2800,470977,277053,473777,75342,0,0,0,292041,367383,106394,2014,Valid ABN,FALSE,FALSE,FALSE,M,TRUE,Medium,473777,0,accurate,367383,0,accurate,1,75342,not excessive,0,193924,0,0.40931493086409854,0,balanced
11005151771,Braemar College Limited,VIC,Large,TRUE,Primary secondary education,TRUE,78,38,6,NA,6221124,33850,3339107,14387945,8132971,17727052,9435395,0,0,0,4695384,14130779,3596273,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Extra Large,17727052,0,accurate,14130779,0,accurate,122,77339.30327868853,not excessive,0,6254974,0,0.3528490806029113,0,balanced
11005583960,Odyssey House Victoria,VIC,Large,TRUE,Other health service delivery,TRUE,60,40,5,NA,7402889,525769,3036218,10964876,0,10964876,7003229,22782,525769,0,3117464,10669244,295632,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Extra Large,10964876,0,accurate,10143475,525769,accurate,105,66697.41904761904,not excessive,0,7928658,525769,0.723096002180052,0.04795029145792438,balanced
11010805927,Victorian Brumby Association Inc,VIC,Small,TRUE,Animal protection,TRUE,0,0,0,NA,0,10741,0,0,0,33581,0,0,0,0,33001,33001,580,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,10741,22840,accurate,33001,0,accurate,0,0,not excessive,0,10741,0,0.3198534885798517,0,balanced
11019639609,Denzil Don Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,0,10,0,NA,268969,0,244703,513672,0,513672,362055,0,0,0,83437,445492,68180,2014,Valid ABN,FALSE,TRUE,TRUE,M,TRUE,Medium,513672,0,accurate,445492,0,accurate,10,36205.5,not excessive,0,268969,0,0.5236201311342646,0,balanced
11037728335,Mitchell House Inc,VIC,Large,TRUE,Aged care activities,TRUE,3,54,2,NA,1869779,20497,1158777,3049053,227263,3276316,2256891,0,634,0,960829,3218354,57962,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Large,3276316,0,accurate,3217720,634,accurate,59,38252.38983050847,not excessive,0,1890276,634,0.5769516737701735,1.9351002772626327e-4,balanced
11058759779,The Australian Viking Ships Museum Association Inc.,VIC,Small,TRUE,Culture arts,TRUE,0,0,0,NA,0,51,0,0,0,351,0,0,0,0,51,51,300,2014,Valid ABN,FALSE,FALSE,FALSE,S,TRUE,Extra Small,51,300,accurate,51,0,accurate,0,0,not excessive,0,51,0,0.1452991452991453,0,balanced
11062802797,Community Housing Limited,VIC,Large,TRUE,Housing activities,TRUE,65,19,5,0,9319301,0,24753512,34072813,0,34072813,5660946,1845765,0,0,26147007,33653718,419095,2014,Valid ABN,TRUE,TRUE,TRUE,L,TRUE,Extra Large,34072813,0,accurate,33653718,0,accurate,89,63606.13483146067,not excessive,0,9319301,0,0.27351134759551554,0,balanced
11083080403,Volunteer Fire Brigades Victoria Inc,VIC,Large,TRUE,Civic advocacy activities,TRUE,11,0,7,NA,1690037,0,434967,2125004,0,2125004,936883,0,108740,0,968760,2014383,110621,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,2125004,0,accurate,1905643,108740,accurate,18,52049.055555555555,not excessive,0,1690037,108740,0.7953100323575861,0.05117166838274187,balanced
11129013305,Nafsika Stamoulis Hellenic Museum Limited,VIC,Large,TRUE,Other activity,TRUE,4,0,0,0,198000,572847,311357,1082204,0,1082204,181706,0,0,0,474442,656148,426056,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,1082204,0,accurate,656148,0,accurate,4,45426.5,not excessive,0,770847,0,0.712293615621454,0,balanced
11130433288,Hands On Learning Australia,VIC,Large,TRUE,Primary secondary education,TRUE,1,9,0,NA,0,1481893,124478,1606371,0,1606371,663848,0,703279,0,23264,1390391,215980,2014,Valid ABN,FALSE,FALSE,FALSE,L,TRUE,Large,1606371,0,accurate,687112,703279,accurate,10,66384.8,not excessive,0,1481893,703279,0.9225098062651779,0.4378060858917398,balanced
11137037677,Financial Basics Community Foundation Limited,VIC,Small,TRUE,Other education,TRUE,0,0,1,NA,0,0,0,0,0,17544,4028,0,0,0,0,4028,13516,2014,Valid ABN,FALSE,TRUE,TRUE,S,TRUE,Extra Small,0,17544,accurate,4028,0,accurate,1,4028,not excessive,0,0,0,0,0,balanced
11146359104,Plumbing Industry Climate Action Centre (Picac) Ltd,VIC,Large,TRUE,Employment training,TRUE,7,0,0,NA,0,0,3302274,3302274,144808,3447082,615789,0,96884,0,1722215,2434888,1012194,2014,Valid ABN,FALSE,TRUE,TRUE,L,TRUE,Large,3447082,0,accurate,2338004,96884,accurate,7,87969.85714285714,not excessive,0,0,96884,0,0.028106090890788207,balanced
11146804668,Carbon Market Institute Limited,VIC,Medium,TRUE,Environmental activities,TRUE,3,0,0,NA,324157,0,497004,821161,0,821161,535000,0,0,0,425747,960747,-139586,2014,Valid ABN,TRUE,FALSE,TRUE,M,TRUE,Medium,821161,0,accurate,960747,0,accurate,3,178333.33333333334,not excessive,0,324157,0,0.3947545000310536,0,balanced
11154257851,Outer Urban Projects Limited,VIC,Medium,TRUE,Economic social community development,TRUE,1,3,1,NA,314929,3511,95529,413969,0,413969,271797,0,0,0,132363,404160,9809,2014,Valid ABN,FALSE,TRUE,TRUE,M,TRUE,Medium,413969,0,accurate,404160,0,accurate,5,54359.4,not excessive,0,318440,0,0.7692363437841964,0,balanced
11162207169,Spinal Research Institute Limited,VIC,Medium,TRUE,Research,TRUE,1,4,0,0,546587,71282,6708,624577,22595,647172,477701,0,0,0,80475,558176,88996,2014,Valid ABN,TRUE,FALSE,TRUE,M,TRUE,Medium,647172,0,accurate,558176,0,accurate,5,95540.2,not excessive,0,617869,0,0.9547214650819257,0,balanced
