abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
11004857827,Austin Medical Research Foundation,VIC,Large,TRUE,Other health service delivery,TRUE,0,2,0,8,183799,235129,2044729,2463657,0,2463657,67062,0,0,0,1964767,2031829,431828,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2463657,0,accurate,2031829,0,accurate,10,6706.2,not excessive,0,183799,0.07460413523473439,balanced
11005583960,Odyssey House Victoria,VIC,Large,TRUE,Other health service delivery,TRUE,80,28,22,10,10625249,429052,4198705,15253006,0,15253006,8186667,14666,0,0,6531373,14732706,520300,2015,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,15253006,0,accurate,14732706,0,accurate,140,58476.19285714286,not excessive,0,10625249,0.6966003291416787,balanced
11019639609,Denzil Don Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,0,8,0,10,271948,0,230141,502089,0,502089,373925,0,0,0,104429,478354,23735,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,502089,0,accurate,478354,0,accurate,18,20773.61111111111,not excessive,0,271948,0.5416330570874884,balanced
11037728335,Mitchell House Inc,VIC,Large,TRUE,Aged care activities,TRUE,3,65,2,10,2054925,13109,1102404,3170438,332520,3502958,2344422,0,0,0,1005595,3350017,152941,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,3502958,0,accurate,3350017,0,accurate,80,29305.275,not excessive,0,2054925,0.586625646096813,balanced
11062802797,Community Housing Limited,VIC,Large,TRUE,Housing activities,TRUE,50,19,11,2,15389760,2001,30571075,45962836,931499,46894335,9164921,1625876,0,0,26181115,36971912,9922423,2015,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,46894335,0,accurate,36971912,0,accurate,82,111767.32926829268,not excessive,0,15389760,0.3281795125146779,balanced
11083080403,Volunteer Fire Brigades Victoria Inc,VIC,Large,TRUE,Civic advocacy activities,TRUE,12,3,12,2500,1614425,0,441394,2055819,0,2055819,1028432,0,101162,0,791491,1921085,134734,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2055819,0,accurate,1921085,0,accurate,2527,406.97744360902254,not excessive,0,1614425,0.7852953008022593,balanced
11131047268,MAS National Limited,VIC,Large,TRUE,Employment training,TRUE,22,0,0,0,1846572,0,0,1846572,134117,1980689,831012,0,88820,0,1060857,1980689,0,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1980689,0,accurate,1980689,0,accurate,22,37773.27272727273,not excessive,0,1846572,0.9322877039252503,balanced
11137037677,Financial Basics Community Foundation Limited,VIC,Small,TRUE,Economic social community development,TRUE,0,1,0,0,0,0,0,0,0,10195,560,0,0,0,0,560,9635,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,10195,accurate,560,0,accurate,1,560,not excessive,0,0,0,balanced
11146359104,Plumbing Industry Climate Action Centre (Picac) Ltd,VIC,Large,TRUE,Employment training,TRUE,7,0,0,50,0,0,6739204,6739204,345525,7084729,827619,0,66062,0,2567415,3461096,3623633,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,7084729,0,accurate,3461096,0,accurate,57,14519.631578947368,not excessive,0,0,0,balanced
11154257851,Outer Urban Projects Limited,VIC,Medium,TRUE,Economic social community development,TRUE,1,6,30,4,328000,239042,64738,631781,13396,645177,495018,0,0,0,122549,617567,27610,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,645176,1,accurate,617567,0,accurate,41,12073.609756097561,not excessive,0,328000,0.5083876207614345,balanced
11167177362,The Centre For Mental Health Education And Research Ltd,VIC,Small,TRUE,Mental health crisis intervention,TRUE,0,0,0,0,0,120,0,0,0,20436,0,0,0,0,24786,24786,-4350,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,120,20316,accurate,24786,0,accurate,0,0,not excessive,0,0,0,balanced
11261294621,Box Hill Community Information and Support Inc,VIC,Small,TRUE,Emergency relief,TRUE,0,0,0,35,101272,18446,0,0,0,131458,0,0,0,0,103706,103706,27752,2015,Valid ABN,TRUE,TRUE,S,TRUE,Small,119718,11740,accurate,103706,0,accurate,35,0,not excessive,0,101272,0.770375329002419,balanced
11274192974,University Of Melbourne Graduate Student Association Inc,VIC,Large,TRUE,Other education,TRUE,12,5,10,20,0,0,2253605,2253605,0,2253605,1297129,0,0,0,988927,2286056,-32451,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,2253605,0,accurate,2286056,0,accurate,47,27598.489361702126,not excessive,0,0,0,balanced
11276993085,Newhope Baptist Pre-School Inc,VIC,Medium,TRUE,Other education,TRUE,0,8,0,90,169789,42213,123824,335826,297,336123,247258,0,0,0,86039,333297,2826,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,336123,0,accurate,333297,0,accurate,98,2523.0408163265306,not excessive,0,169789,0.505139487628041,balanced
11296752873,St Kilda Mums,VIC,Medium,TRUE,Social services,TRUE,1,6,0,1000,0,404620,249817,654437,0,654437,194758,0,0,0,419568,614326,40111,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,654437,0,accurate,614326,0,accurate,1007,193.40417080436941,not excessive,0,0,0,balanced
11300672506,Nagambie Rsl Sub-Branch,VIC,Small,TRUE,Social services,TRUE,0,0,0,10,0,300,0,0,0,5408,0,0,200,0,10649,10849,-5441,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,300,5108,accurate,10849,0,accurate,10,0,not excessive,0,0,0,balanced
11342844238,Harrietville Television Committee Inc,VIC,Small,TRUE,Civic advocacy activities,TRUE,0,0,1,6,0,0,0,0,0,9141,5122,0,0,0,2131,7253,1887,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,9141,accurate,7253,0,accurate,7,731.7142857142857,not excessive,0,0,0,balanced
11365315258,Community Information & Support Victoria Inc,VIC,Large,TRUE,Social services,TRUE,1,5,2,10,1160476,0,34581,1195057,39986,1235043,282008,1148,0,0,952876,1236032,-989,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,1235043,0,accurate,1236032,0,accurate,18,15667.111111111111,not excessive,0,1160476,0.9396239645097377,balanced
11483474386,Farm Road Pre School Inc,VIC,Medium,TRUE,Other education,TRUE,0,10,2,5,0,0,299084,299084,0,299084,218403,0,0,0,77136,295539,3545,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,299084,0,accurate,295539,0,accurate,17,12847.235294117647,not excessive,0,0,0,balanced
11507709511,Northern District Community Health,VIC,Large,TRUE,Other health service delivery,TRUE,20,20,9,0,3385818,362,160555,3546735,50351,3597086,2272848,0,0,0,1296713,3569561,27525,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,3597086,0,accurate,3569561,0,accurate,49,46384.65306122449,not excessive,0,3385818,0.9412669032655877,balanced
11622576453,Cornella Local Area Plan Implementation Committee,VIC,Small,TRUE,Economic social community development,TRUE,0,0,0,10,0,2150,0,0,0,3619,0,0,0,0,3254,3254,365,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,2150,1469,accurate,3254,0,accurate,10,0,not excessive,0,0,0,balanced
11648685928,One Hundred & Seventy Nine Napier St Hostel Assoc Inc,VIC,Large,TRUE,Aged care activities,TRUE,6,45,30,6,0,4400,4039998,4044398,308894,4353292,2678274,0,0,0,964996,3643240,710052,2015,Valid ABN,TRUE,TRUE,L,TRUE,Large,4353292,0,accurate,3643270,30,accurate,87,30784.758620689656,not excessive,0,0,0,balanced
11691631556,Peninsula And Chelsea Kindergarten Teachers Association Inc,VIC,Small,TRUE,Other education,TRUE,0,0,0,15,0,0,0,0,0,8307,0,0,0,0,11342,11342,-3035,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,8307,accurate,11342,0,accurate,15,0,not excessive,0,0,0,balanced
11753464251,East Brunswick Kindergarten and Childcare Centre Incorporated,VIC,Medium,TRUE,Other education,TRUE,3,15,5,10,421773,0,498864,920637,0,920637,719466,0,0,0,189440,908906,11731,2015,Valid ABN,TRUE,TRUE,M,TRUE,Medium,920637,0,accurate,908906,0,accurate,33,21802,not excessive,0,421773,0.4581317066335592,balanced
11773286290,Korumburra Rsl Sub-Branch,VIC,Small,TRUE,Social services,TRUE,0,0,0,10,900,1230,0,0,0,11301,0,0,925,0,7822,8747,2554,2015,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,2130,9171,accurate,8747,0,accurate,10,0,not excessive,0,900,0.07963897000265463,balanced
