abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,government_grants,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,other_beneficiaries_not_listed,other_beneficiaries_description,main_beneficiaries,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
11003429338,ISCAST LTD,VIC,Small,TRUE,Other education,TRUE,0,0,0,5,0,61986,19717,0,2317,84020,0,0,0,0,70510,70510,13510,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,84020,0,accurate,70510,0,accurate,5,0,not excessive,0,0,0,balanced
11005583960,Odyssey House Victoria,VIC,Large,TRUE,Other health service delivery,TRUE,96,45,10,11,12175016,389512,5546748,18111276,0,18111276,9284579,10592,0,0,7218968,16514139,1597137,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,18111276,0,accurate,16514139,0,accurate,162,57312.21604938272,not excessive,0,12175016,0.6722340270227233,balanced
11019639609,Denzil Don Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,0,9,0,10,309409,0,239506,548915,0,548915,471488,0,0,0,104252,575740,-26825,2016,Valid ABN,TRUE,TRUE,M,TRUE,Medium,NA,NA,FALSE,NA,NA,548915,0,accurate,575740,0,accurate,19,24815.157894736843,not excessive,0,309409,0.5636737928458869,balanced
11037728335,Mitchell House Inc,VIC,Large,TRUE,Aged care activities,TRUE,3,51,2,10,2270588,14489,1339169,3624246,0,3624246,2507238,0,0,0,972829,3480067,144179,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,FALSE,NA,NA,3624246,0,accurate,3480067,0,accurate,66,37988.454545454544,not excessive,0,2270588,0.6264994153266638,balanced
11062802797,Community Housing Limited,VIC,Large,TRUE,Housing activities,TRUE,65,16,18,0,7154499,3500,34476122,41634121,2794020,44428141,7267816,1842966,0,0,30041122,39151904,5276237,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,44428141,0,accurate,39151904,0,accurate,99,73412.28282828283,not excessive,0,7154499,0.16103529967639205,balanced
11076178673,Dolphin Common Equity Rental Housing Co-Operative Ltd,VIC,Small,TRUE,Housing activities,TRUE,0,0,0,5,0,0,196352,0,0,196352,0,0,0,0,189974,189974,6378,2016,Valid ABN,TRUE,TRUE,S,TRUE,Small,NA,NA,FALSE,NA,NA,196352,0,accurate,189974,0,accurate,5,0,not excessive,0,0,0,balanced
11083080403,Volunteer Fire Brigades Victoria Inc,VIC,Large,TRUE,Civic advocacy activities,TRUE,12,0,6,2500,1814747,70163,219297,2104207,0,2104207,1158531,0,500,0,804409,1963440,140767,2016,Valid ABN,TRUE,TRUE,L,TRUE,Large,NA,NA,TRUE,Emergency Services Volunteers,NA,2104207,0,accurate,1963440,0,accurate,2518,460.0996822875298,not excessive,0,1814747,0.8624374883269564,balanced
11131047268,MAS National Limited,VIC,Large,TRUE,Employment training,TRUE,42,17,1,0,11451609,0,0,11451609,286418,11738027,3990767,0,0,0,7945257,11936024,-197997,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,11738027,0,accurate,11936024,0,accurate,60,66512.78333333334,not excessive,0,11451609,0.9755991360387909,balanced
11137037677,Financial Basics Community Foundation Limited,VIC,Small,TRUE,Other education,TRUE,0,1,0,0,0,0,8524,0,0,8524,2020,0,0,0,3151,5171,3353,2016,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,NA,NA,FALSE,NA,NA,8524,0,accurate,5171,0,accurate,1,2020,not excessive,0,0,0,balanced
11146359104,Plumbing Industry Climate Action Centre (Picac) Ltd,VIC,Large,TRUE,Employment training,TRUE,16,0,3,0,6634998,0,1346661,7981659,4004589,11986248,1841628,0,0,0,4259433,6101061,5885187,2016,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,NA,NA,FALSE,NA,NA,11986248,0,accurate,6101061,0,accurate,19,96927.78947368421,not excessive,0,6634998,0.5535508692962134,balanced
