abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,revenue_from_goods_and_services,revenue_from_investments,government_grants,main_beneficiaries,other_beneficiaries_not_listed,other_beneficiaries_description,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
11003429338,ISCAST LTD,VIC,Small,TRUE,Other education,TRUE,0,1,0,5,171198,315,195999,1371,197370,68145,0,0,0,129198,197343,27,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,21524,2962,0,General community in Australia,FALSE,NA,197370,0,accurate,197343,0,accurate,6,11357.5,not excessive,0,0,0,balanced
11005583960,Odyssey House Victoria,VIC,Large,TRUE,Other health service delivery,TRUE,100,40,24,10,470000,5093000,19813000,0,19813000,10733000,6000,0,0,8186000,18925000,888000,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,1281000,69000,12900000,General community in Australia,FALSE,NA,19813000,0,accurate,18925000,0,accurate,174,61683.90804597701,not excessive,0,12900000,0.6510876697118054,balanced
11007434362,Alphington Grammar School,VIC,Large,TRUE,Other education,TRUE,47,28,11,2,65298,387673,12886375,0,12886375,7378537,60592,0,0,4537096,11976225,910150,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,8967394,1823,3464187,Other charities,FALSE,NA,12886375,0,accurate,11976225,0,accurate,88,83847.01136363637,not excessive,0,3464187,0.26882556188222057,balanced
11019639609,Denzil Don Kindergarten Inc,VIC,Medium,TRUE,Other education,TRUE,0,10,0,10,0,24804,622195,0,622195,475277,0,0,0,142587,617864,4331,2017,Valid ABN,TRUE,TRUE,M,TRUE,Medium,246050,6435,344906,Early childhood - aged under 6,FALSE,NA,622195,0,accurate,617864,0,accurate,20,23763.85,not excessive,0,344906,0.5543374665498758,balanced
11037728335,Mitchell House Inc,VIC,Large,TRUE,Aged care activities,TRUE,3,53,2,10,13299,26,3706536,0,3706536,2600212,0,0,0,931115,3531327,175209,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,1236389,199648,2257174,Adults - aged 65 and over,FALSE,NA,3706536,0,accurate,3531327,0,accurate,68,38238.41176470588,not excessive,0,2257174,0.6089712874770405,balanced
11076178673,Dolphin Common Equity Rental Housing Co-Operative Ltd,VIC,Small,TRUE,Housing activities,TRUE,0,0,0,5,0,201036,201036,0,201036,0,0,0,0,206068,206068,-5032,2017,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,0,0,General community in Australia,FALSE,NA,201036,0,accurate,206068,0,accurate,5,0,not excessive,0,0,0,balanced
11083080403,Volunteer Fire Brigades Victoria Inc,VIC,Large,TRUE,Civic advocacy activities,TRUE,12,1,6,2500,94682,1592363,1994214,0,1994214,1184541,0,500,0,1321864,2506905,-512691,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,133068,174101,General community in Australia,TRUE,Emergency Services Volunteers,1994214,0,accurate,2506905,0,accurate,2519,470.2425565700675,not excessive,0,174101,0.08730306777507328,balanced
11131047268,MAS National Limited,VIC,Large,TRUE,Employment training,TRUE,41,17,4,0,0,8209,9842468,1860,9844328,4087957,16,0,0,5735951,9823924,20404,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,125498,9708761,General community in Australia,FALSE,NA,9844328,0,accurate,9823924,0,accurate,62,65934.79032258065,not excessive,0,9708761,0.9862289228883881,balanced
11137037677,Financial Basics Community Foundation Limited,VIC,Small,TRUE,Other education,TRUE,0,2,0,5,40000,0,41727,0,41727,2680,0,0,0,251158,253838,-212111,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,1727,0,Youth - aged 15 to under 25,FALSE,NA,41727,0,accurate,253838,0,accurate,7,382.85714285714283,not excessive,0,0,0,balanced
11141476364,Bundoora Extended Care Centre Preston Auxiliary,VIC,Small,TRUE,Aged care activities,TRUE,0,0,0,12,0,21560,22213,0,22213,0,0,2471,0,0,2471,19742,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,653,0,Adults - aged 65 and over,FALSE,NA,22213,0,accurate,2471,0,accurate,12,0,not excessive,0,0,0,balanced
11146359104,Plumbing Industry Climate Action Centre (Picac) Ltd,VIC,Large,TRUE,Other education,TRUE,16,0,0,0,0,283947,9987936,47103,10035039,3220377,0,206982,0,5109856,8537215,1497824,2017,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,723452,0,8980537,General community in Australia,FALSE,NA,10035039,0,accurate,8537215,0,accurate,16,201273.5625,not excessive,0,8980537,0.8949179968309042,balanced
11146804668,Carbon Market Institute Limited,Victoria,Large,TRUE,Civic advocacy activities,TRUE,4,0,0,0,0,0,1001011,0,1001011,558476,0,0,0,462264,1020740,-19729,2017,Valid ABN,TRUE,TRUE,L,TRUE,Large,844797,2119,154095,General community in Australia,TRUE,"climate change & business, general community, the environment.",1001011,0,accurate,1020740,0,accurate,4,139619,not excessive,0,154095,0.15393936729966004,balanced
11167177362,The Centre For Mental Health Education And Research Ltd,VIC,Small,TRUE,Mental health crisis intervention,TRUE,0,0,0,0,0,18588,18588,0,18588,0,0,0,0,13379,13379,5209,2017,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,0,0,General community in Australia,FALSE,NA,18588,0,accurate,13379,0,accurate,0,0,not excessive,0,0,0,balanced
