abn,charity_name,state,charity_size,conducted_activities,main_activity,operates_in_vic,staff_full_time,staff_part_time,staff_casual,staff_volunteers,donations_and_bequests,all_other_revenue,total_revenue,other_income,total_gross_income,employee_expenses,interest_expenses,grants_and_donations_made_for_use_in_australia,grants_and_donations_made_for_use_outside_australia,all_other_expenses,total_expenses,net_surplus_deficit,Year,Valid_ABN,community_sector_main,vic_community_sector,cleaned_charitysize,correct_charitysize,VCOSS_charitysize,government_grants,reported_income,income_variance,inaccurate_income_reported,reported_expenses,expenses_variance,inaccurate_expenses_reported,total_employees,employeeexpenses_per_employee,excessive_expenses,invalid_negative_values,total_grants_type,grants_income_prop,imbalanced_grants
11076178673,Dolphin Common Equity Rental Housing Co-Operative Ltd,VIC,Small,TRUE,Housing activities,TRUE,0,0,0,5,0,204311,204311,0,204311,0,0,0,0,202362,202362,1949,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,0,204311,0,accurate,202362,0,accurate,5,0,not excessive,0,0,0,balanced
11083080403,Volunteer Fire Brigades Victoria Inc,Victoria,Large,TRUE,Civic advocacy activities,TRUE,12,0,3,2500,13585,155267,1922837,0,1922837,975317,0,500,0,795090,1770907,151930,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,1706808,1875660,47177,accurate,1770907,0,accurate,2515,387.8,not excessive,0,1706808,0.887650903326699,balanced
11130433288,Hands On Learning Australia,Victoria,Medium,TRUE,Economic social community development,TRUE,0,0,0,0,236000,0,483000,0,483000,0,0,0,0,450000,450000,33000,2018,Valid ABN,TRUE,TRUE,M,TRUE,Medium,247000,483000,0,accurate,450000,0,accurate,0,0,not excessive,0,247000,0.5113871635610766,balanced
11131047268,MAS National Limited,Victoria,Large,TRUE,Employment training,TRUE,43,18,0,0,0,195828,13015600,0,13015600,6385405,55,0,0,5899742,12285202,730398,2018,Valid ABN,TRUE,TRUE,L,TRUE,Extra Large,12819772,13015600,0,accurate,12285202,0,accurate,61,104678.77049180328,not excessive,0,12819772,0.9849543624573589,balanced
11146804668,Carbon Market Institute Limited,Victoria,Large,TRUE,Economic social community development,TRUE,4,1,0,20,0,0,1143704,0,1143704,620607,0,0,0,555555,1176162,-32458,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,268530,268530,875174,accurate,1176162,0,accurate,25,24824.28,not excessive,0,268530,0.23478977077985214,balanced
11167177362,The Centre For Mental Health Education And Research Ltd,Victoria,Small,TRUE,Mental health crisis intervention,TRUE,0,0,0,0,0,15368,15368,0,15368,0,0,0,0,8941,8941,6427,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,15368,0,accurate,8941,0,accurate,0,0,not excessive,0,0,0,balanced
11252634894,Inglewood-Bridgewater RSL Sub-Branch Patriotic Fund,VIC,Small,TRUE,Social services,TRUE,0,0,0,5,1049,0,1049,0,1049,0,0,0,0,0,0,1049,2018,Valid ABN,TRUE,TRUE,S,TRUE,Extra Small,0,1049,0,accurate,0,0,accurate,5,0,not excessive,0,0,0,balanced
11261294621,Box Hill Community Information and Support Inc,Victoria,Small,TRUE,Social services,TRUE,0,0,0,26,3000,0,59415,0,59415,0,0,42276,0,17157,59433,-18,2018,Valid ABN,TRUE,TRUE,S,TRUE,Small,55923,58923,492,accurate,59433,0,accurate,26,0,not excessive,0,55923,0.9412269628881595,balanced
11274192974,University Of Melbourne Graduate Student Association Inc,VIC,Large,TRUE,Civic advocacy activities,TRUE,14,3,8,0,0,2989620,3232758,0,3232758,1831115,0,0,0,1377808,3208923,23835,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,5500,2995120,237638,accurate,3208923,0,accurate,25,73244.6,not excessive,0,5500,0.001701333659989396,balanced
11296752873,St Kilda Mums,VIC,Large,TRUE,Emergency relief,TRUE,24,21,13,2175,2200208,90379,2290587,0,2290587,1200103,0,248701,0,777767,2226571,64016,2018,Valid ABN,TRUE,TRUE,L,TRUE,Large,0,2290587,0,accurate,2226571,0,accurate,2233,537.4397671294223,not excessive,0,0,0,balanced
